"","x"
"293","It was a warehouse deal but a pair of very well used head phones that weren't even Samsung head phones that come with the phone... the headohone had ear wax chunks inside ewww gross. It was also missing the charger.The phone itself... it's nice.
            "
"294","I had Samsung galaxy s6 and I wanted to upgrade my phone with the newer version. I loved everything about s9 so far. I liked the picture quality. I bought s6 about 3years ago and it is still new except its battery drains comparatively faster and is in good shape.
            "
"295","Its perfect runs and looks great love it
            "
"296","Genial
            "
"297","Used-gadget has the best prices for used phones. I got one that was used-acceptable condition but I would say it's excellent quality! The description was accurate
            "
"298","Bought this to replace older phone (Sprint network).  Phone works wonderfully and no issues getting it on the Sprint network (just went to Sprint store for SIM card).
            "
"299","simple a great phone....surpassed all my needs
            "
"300","I like my galaxy S 9+ very much, is very fast, takes awesome pics, sound it's great. My disappointment is that it doesn't have video chat, can't set up individual messages alert tones, can't set up wallpaper on messages, background is plain white, very boring. Besides that it is a good quality phone.
            "
"301","Was initially tempted by the Moto G6 or X4 but the S9, in addition to more sensors used in various application, has better processor, very good camera, microphone which are useful when used with Smule!
            "
"302","No bad review or nothing out of the ordinary. The phone was exactly as I purchased it through Amazon, new and with all the accesories mentioned. It has good quality of sound and image.
            "
"303","Love the phonbne but HATE, I mean HATE, the terrible typing! Adds letters, etc I never hit! Have to type real slow.. otbyerwuse thi87s happens
            "
"304","I love the size of the screen and the phone overall.  Great purchase for a good price.  I have paid a lot more for my other phones.  This phone was unlocked!
            "
"305","itz goooooood
            "
"306","I received the phone with chargers, earphones, usb connector in a samsung case. It worked fine for the first few days, but later  slowed down a little bit.  It happended for a week. Now, it works fine. I havenot encountered any further issue. It a good phone, and I am enjoying it.
            "
"307","Despite what people say here, this """"unlocked"""" phone DOES NOT work on Verizon. I bought one of these on Amazon, took it to the Verizon store and they said it was incompatible. The information on this page is very misleading. I will be returning it for a full refund.As for the phone itself, it is fine. It's a modern phone. But if I can't use it to make calls/texts it is worthless as a phone.
            "
"308","Light weight and slim. Very fast processor.
            "
"309","Very pleased with the price.  Samsung has been sending me a number of ads to buy this, for the wonderful price of $200 more than I paid on Amazon
            "
"310","I bought this phone for straight talk. Put in the sim card and it was good to go. My first Samsung and it blows every other phone I've ever had out of the water. Wish i would have switched over a long time ago
            "
"311","What can I say?  It's a brand new Galaxy S9 with all the bells and whistles.  Came in perfect condition and has been excellent since I received it for Christmas.  Would buy again in a heart beat!
            "
"312","Bought the Samsung S9 from Liquid Deals, nowhere did it say it was used. Thought I was buying a new. Unexceptable!
            "
"313","excellent...arrived on time and brand new. everything functions as it should
            "
"314","Customizable, not as many limitations as iPhone, data transfer smooth overall great camera quality and battery life is just amazing would buy a million times.
            "
"315","<U+0001F44C><U+0001F3FB><U+0001F609><U+0001F44D><U+0001F3FB><U+0001F60A>¢¾<U+FE0F>
            "
"316","Zero stars. I got a fake phone.
            "
"317","I liked everything about this phone. Wished that Samsung would get it together when it comes to their tablets. Phones I recommend, tablets no.
            "
"318","Love love love this! The speed is amazing, I only have to charge once a day and use constantly, the picture is better than expected. I seriously love everything about it. I upgraded from an s5 and samsung didn't disappoint.
            "
"319","The service seems to be spotty with the S9. My S7 never had any issues with service area. There are certain areas in my home that have a bad connection or drop calls. Frustrating
            "
"320","Perfect. Arrived, put in my sim  and waited for everything to load. I run off cricket wireless. No issues, great deal. Less than in store
            "
"321","I took a picture out in the rain. Now it has water damage and I can't charge it. I can't return it because the warranty ended last month. I'm so pissed. Oh and the back of the screen shattered even with a 5 star case on it. So basically this phone is made of porcelain.
            "
"322","I'd like to start out by saying I've never had any of the previous galaxies, so I don't know how the S9+ companies to previous models. That saying, I absolutely love this phone. I recently switched to the Galaxy S9+ from the ZTE Axon 7 because of the limitations on that phone. The Axon 7 is a really good phone, and although it is an android, there are a lot of differences between that phone and Samsung Androids.The Galaxy S9+ has a great battery life, I charge it using the wireless fast charger in the morning before work and it will last all day through a 10 hour shift plus the gym. I like all the security features like the fingerprint scanner and face detection. It also has great memory and runs easily. I can do multiple things at a time and have multiple windows open and it's not a problem. The sound is also really good, I don't have to turn it up as loud to get the same quality music as with my old phone and the display for the screen is awesome. I take pictures and they look like they are in hd. By far one of my favorite features is the edge panel where you can put frequently used apps and contacts and such. I use that all the time.So far I have no complaints. I've been using this phone for about a month and I'm in love with it. Also buying it through Amazon using their store card and 24 month financing was a plus. That's the only way I could afford such a high price phone.I would definitely recommend this phone to someone else. I never rate anything 5 stars, but as of now the Galaxy S9+ is worth it.
            "
"323","Took the phone to boost and when they scanned it, it said the phone could not be activated.  Had to return and bought a phone locally so I could have it before Christmas.  I am sure it would have been great if it activated.
            "
"324","My wife bought me this Samsung S9Plus for my birthday. I am used to a Apple products ( iPads,iPhones & etc ) I love this Phone because it does everything I use it for. Calls,watch movies,reading and alarms.. I like the wireless charging which makes it so easy to use and know where it is at night time. Bixby ( like Alex) is another feature that I like besides the big screen. I like this phone
            "
"325","Bought a used phone and it looks brand new when recieved.Purchased from an amazon warehouse deal. Everything is like new, and barely  used. Good price and good quality. The descriptions were accurate just like it described. Overall using this device its like brand new with an good deal. Downside was that it collected tax, but overall it was an quality  i wanted.
            "
"326","Received a International model(SM-G965F/DS) with no warranty.
            "
"327","This is my first smart phone. The learning curve was more than I expected. I am still woeking on all the many features.
            "
"328","Love everything except  Bixby.  I have just muted that feature with no problem. Perfect size
            "
"329","Picture quality and voice clarity is great.  I like WiFi calling feature this phone comes with which is great for people with poor network connections in the general surroundings.  However the battery seems to drain too quick even with no phone activity which I was surprised and not too happy.  Otherwise its a good purchase
            "
"330","I brought this phone 1 month ago im satisfied with this s9+ but the main thing is i paid 700+ dolars i i got sprint network phone its unlocked but this sprint i cannot remove and when im using hot spot i t can connect only 1 user per time and that sprint aplications i have i cant remove them i think its not fair to give a sprint or any other provider phones unlocked sonpeople to struggle with this kind of things
            "
"331","I love it like omg I¡¯ve reading the reviews and the photos they take I was scary that it was going to be but hey what a surprise I gotta the Samsung galaxy 9+ but sadly the s10 out lol idc I love the phone
            "
"332","I did not undetstand unlocked meant that so.e features with own carrier might not work. Sending back to buy locked version from retailer.
            "
"333","I just got my  Samsung Galaxy S9 yesterday so far I  really like itI'll update on a later date
            "
"334","Its everything I expected and more.  I went from an S7 edge to the 9+ and I'm in love.  The camera, the screen, its fast and responsive.  Took time getting used to but I'm still digging it.
            "
"335","The phone is ok overall but the battery life sucks it cannot last me throughout the day and I didn't receive a Samsung ear plugs
            "
"336","She Absolutely 100% love this phone. I got it for my lady for Christmas, all she can do is show everyone and talk about how amazing the camera is. Awesome job Samsung!!
            "
"337","US cellular says you can't use all of the features because this phone wasn't made for US cellular. Plus we get poor service now, like dropped calls and slow internet.
            "
"338","this is a great phone.  very easy to use and looks great.  alot of great features.
            "
"339","It's a nice phone. Just go to an actual store. Maybe you won't get 3 defects in a row.
            "
"340","1. Shipped to Alaska. Good job. Wouldn't ship to my location in Alaska which I found odd but it's cool we made it work.2. Got a sim card pack from AT&T, and hooked rite up. No hassle no worries. I love this phone. Thanks so much
            "
"341","The screen cracked from a lite touch on the edge making it very ugly to look at.
            "
"342","I live in Canada and I purchased this phone. It's an unlocked phone like it states. So it works for all providers. You dont need to worry about that. Dont let the model number fool you. The model number is the North American version. The ""1"" you see at the end, only means it's an unlocked phone. Everything was in the box. Excellent condition. And it actually arrived 1 day before expected. Its absolutely fantastic for its price. I saved like $300!
            "
"343","I will start this review by stating that I live in a very weak signal area no matter what device is used. This being said, I compared the S9+ to a Note 9 and a 50.00 LG. Very weak antenna compared to other phones! Tried 2 different 9+ both had same weak reception. I compared to Note 9 and a cheap LG - even the cheap LG had a stronger signal.
            "
"344","Does everything that it's supposed to... I pulled the nano-sim card out of my old S6 active... then tranfered everything ... I have AT&T...and it works without any problem... came with every thing... ear phones...wall charger ...sim card tool... and the cable to transfer all my pictures and text ...  perfect !!!
            "
"345","The S9+ has a crack on the back and small hairline cracks on the front screen, the accessories came scratched on purpose.
            "
"346","Great phone for the price.  This is my first Samsung phone, so far I am very happy with the performance.There is one issue.The charger connection is not working properly. I have to plug in on a special side of the type C head.
            "
"347","I just received my S9 late afternoon on 4/7/19 . I charged it overnight. Today, April 8th 2019 I brought it to Sprint store to activate the device. However, the representative tried twice to activate and said it was not compatible with Sprint services. Now, I have no emergency phone and we have no landline. Not happy after being told it was unlocked for Sprint carriers.
            "
"348","Battery dies fast and constant opens Bixby and wallet. Keyboard adds space in middle of words. Finger print is awesome
            "
"349","Exactly as described! Just inserted my sim card and everything worked! Awesome buy!
            "
"350","The phone  is stylish and works great with my straight talk SIM card. I'm not real pleased with the camera quality though. I think my Galaxy s7 takes better pictures
            "
"351","Love the phone, saved me $300 from the Verizon store. With all the accessories I wanted it still came put $100 less than Verizon. Activation was easy and came with a sim card removal tool, took me all of 7 minutes to activate on Verizon without any help from them. Only drawback was the long shipping time but it was economy shipping and free. Otherwise no complaints!
            "
"352","This phone is so sick. So fast and screen is amazing. Great for the price. I got it thro 5 months payments. Thanks Amazon.
            "
"353","So far everything has been great with the new device, it came in perfect condition and Verizon SIM worked immediately. Battery life is very good.
            "
"354","WARNING: If you want a protection plan that covers loss or theft, don't buy your phone on Amazon! I just bought this Galaxy S9 and I can't find any company that will sell me a protection plan which covers loss or theft.Asurion seems to only sell warranties through phone carriers, Squaretrade doesn't cover theft, and it looks like Verizon won't sell me the coverage because I didn't buy the phone from them, also I'm not on contract. I'll update this if I have any luck, I'll probably just end up returning this and buying a phone from Verizon, even though I am mad at them :(...
            "
"355","Ordered this phone during black Friday. I've read review about this smartphone and was wondering if it won't work or I will get it used. However, I got this phone brand new (as I think) and inside the box almost everything was ok. There was no seal and it was kind of dust or smth I don't know. Ordered it New from Samsung and it still works. If anything happens, I will update this review
            "
"356","I recommend this phone to anyone who uses a smart phone. It's easy to set up, much support from Samsung.
            "
"357","So far so good! I'm excited about the price! It's a slim phone for sure and also narrow. I upgraded from a s7
            "
"358","This phone is the best I ever had. Using it is easy, and the screen is very clear and sharp.
            "
"359","This was an international phone and would not work with Sprint. I was able to receive a full refund.
            "
"360","At first, I was apprehensive because of the deal price, then some of the international reviews, this is the U.S. version... brand new, I popped the sim card out of my Verizon s8 into this and that's it, I'm online, activated messaging calls data and everything 30 seconds later!
            "
"361","Great phone. Unlocked so just moved sim to new phone and had service. Works well, lots of features.
            "
"362","Got the wrong item
            "
"363","I do love this phone!! I didn't think I would be able to afford a new galaxy since I'm non-contact, so when I saw this on a PAYMENTS option??? I jumped on this deal!!! Very happy. Thanks Amazon! <U+0001F60A>
            "
"364","Love the updated version. Hate the screen is shattered already.
            "
"365","It's quite big for average hand so it's hard to use with one hand. Face recognition still needs some work as it requires the face to be at similar distance that you had programmed with. Don't think it ever work with sunglasses. Other than that,  no complain as of yet.
            "
"366","I started to switch to an iPhone after having issues with the s7.. decided to get the s9+ and am impressed. This phone is awesome!!
            "
"367","Love Galaxy phones and this is a big step up from my S7.  Love the color! Did have an issue with the 1st phone I received, it stopped charging and the screen became unresponsive within 2 weeks of receiving.  Amazon did however replace it after a few calls.
            "
"368","A replacement for a dead Samsung S5, this was a great choice - very satisfied all around.
            "
"369","I purchased this mobile on thanksgiving and i would say this was one of a fantastic model in the recent years.Picture quality was amazing and have a very good battery life, though i'm a minimal user (I do not use heavy apps).Thank you Amazon for a wonderful deal and thank you Samsung for a quality phone..!
            "
"370","We are having problems getting data on our phone went to provider it¡¯s set up correctly
            "
"371","Great phone. Looks and feels great in your hand. Still like my iPhone better
            "
"372","Works with straight talk Verizon sim card. Haff to call a few times to get someone to set the data up properly, but other than that. I love this phone so much.
            "
"373","Cell service seems to be less than my old model....6s active.  At my house I usually 9nly get one bar for a signal and sometimes NO bars while others in the house (same cell provider) have 2- 3 bars all the time.
            "
"374","Only had for a short time but everything seems to work correctly
            "
"375","Do you know if you will have the 256 gig available? I've already ordered 2 phones and need a 3rd but I want the higher capacity model. Phones are awesome btw.
            "
"376","Love my phone; battery last the all day.The camera makes nice quality photos; large display. Overall great phone.
            "
"377","Definitely won't need to upgrade for a while, best phone I've had to date.
            "
"378","It was a good deal. I honestly expected a bit more of the battery but since the phone has so many features (that can be turned off) it consumes a lot of energy. But the product in general fullfil my expectations and I'm happy with my purchase.
            "
"379","I have no complaints or problems with this phone.  A bit pricey, but functionality and feature-wise, love it.
            "
"380","Previously had the moto E4 +5000 unit batteryLasted foreverWish this phone did otherwise fast function
            "
"381","This international model won't let you turn off the camera shutter noise and is incompatible with TWRP and all other Android root methods.
            "
"382","I finally upgraded from my Note 4. Man, what a difference!Like going from a Ford to a Ferrari.
            "
"383","Phone is perfect in every aspect. The battery lasts longer than my old iPhone 6. This is my first upgrade to Android so I find no issues with the battery. So far I'm loving the phone.
            "
"384","All the features, all the upgrades.  It's a beautiful infinity screen.  Best purchase EVER!!
            "
"385","This is the best phone I've ever owned. Transferring all my contacts, photos, videos and apps was a breeze. The only reason that I didn't give it 5 stars is because after paying nearly a thousand dollars for this phone, I still had to go to the Verizon store, plunk down another hundred bucks to get the SIM card and to use that to activate the phone.
            "
"386","Awesome phone, the battery life is excellent and the picture quality
            "
"387","I absolutely love the photo quality. It Also came really fast. I love Amazon and I¡¯ve never bought a Phone off of it for but this just proves it. Amazon is the best! The sound is great too!
            "
"388","do not buy phones, etc from amazon
            "
"389","The phone I got was not as advertised. Tried to activate it and when it didn't work, contacted verizon, for them to tell me that the phone wasn't being recognized by their system, and wasn't unlocked.
            "
"390","My 3 year old Samsung S6 Edge got pink line issue, so thought of replacing the phone. I got this Samsung S9 from Amazon. Great price for Cyber Monday. The battery life is great. Picture quality is wonderful. The security features are good.
            "
"391","Just like new. Love my phone no scratches dents or anything. Setup was easy.
            "
"392","Came in genuine packaging with all parts and manuals. Phone was brand new, worked flawlessly
            "
"393","Battery life sucks! It will be drained half way in your day no matter how you use it. I called both Amazon support and Samsung support, both recomended to adjust the brightness of my screen :|
            "
"394","It has a glitch with speakerphone.  If you are using speaker it is a 50/50 chance the person on the other line won't hear you. I think this is a glitch that Samsung already knows about. Otherwise,  I love the phone but I like the older models.
            "
"395","Charges quickly.  Everything transferred easily.  I love my new phone.
            "
"396","The phone randomly disconnects from calls and internet.  It is unreliable and for a phone that I bought in October, the product support window closed on January 10th.  I guess they figured that since the phone will die in three months they should not offer support a minute beyond that.  Don't buy this unless you have disposable income.
            "
"397","I use this phone nonstop (even for this review). Very solid choice, responsive, haven't had any issues.
            "
"398","Used it for less than 2 months and it has started being kicked off the VZW mobile network. It no longer can be registered on the network, so it's totally useless. Amazon is charging a restocking fee. STAY AWAY, DON'T BY IF YOU WISH TO USE Verizon wireless service.
            "
"399","Used it for a month or more now & no issues, definitely be purchasing my next phone this way also!
            "
"400","Estaba tal cual la publicacion.  Muy buen producto.  Es dificil todavia evaluar durabilidad por el corto plazo de uso pero hasta ahora ha sido excelente su funcionamiento.
            "
"401","Will never go back to iPhone. WAY too much$$$$$.
            "
"402","I love this phone completely, and at first look.
            "
"403","Bought as a gift, haven't heard any complaints
            "
"404","Got it for my husband for Christmas.  He Loves it! Super easy activation.
            "
"405","I love this phone, i have like 2 months with it, and i keep discovering new things about it.
            "
"406","Purchased it, didn't care for it so I sent it back. Sound quality was great though.
            "
"407","Love the phone no issue as of yet with phoneonly issue i had was with the shipping,it was loose in the box,NO protective stuffingPlus when u open the phone it doesnt have the same screen protectors u r used 2.That might make u think its a refur...its not
            "
"408","Phone is no longer working......not powering up.....Smh
            "
"409","There was no phone in the box!!!
            "
"410","I received the phone today and I've been playing with it all day I have not had one issue. And I also have straight talk I just switched my sim around and it worked great. Also everything on the phone works great! I would recommend this phone to anyone I know looking into getting an android or switching phones.
            "
"411","Delivered faster than expected. Phone is in great condition. I can't see anything wrong with it. Still learning all the features  no scratches. Very pleased.
            "
"412","I haven't had much time with the phone as of yet.  I am disappointed that the description says it comes with a USB cable but mine didn't.
            "
"413","AWESOME
            "
"414","love it, upgraded from iphone 7plus
            "
"415","The appliance came with the back cover broken. Unfortunately I live in Brazil and I can not send the device back. I am extremely dissatisfied with Samsung lack of quality.
            "
"416","Upgraded from another Samsung and I love how easy this was to set up! Lots of cool features with the S9+
            "
"417","This product was being sold as new. The phone was clearly used as evidenced by a Samsung Cloud account set up and a user icon. Definitely being returned.
            "
"418","This phone has a mind of its own. Very unhappy with it
            "
"419","Unlocked US version.  I simply swapped the SIM card from my iPhone to this one and ran Smart Switch.  Was up and running in under 30 minutes. Beautiful screen and decent battery life.  Works on the Verizon CDMA network and the data speed is noticeably faster than my previous iPhone 7+ on the same network.  Earphones that came with it sound great as well, which is a plus.  I have gone back and forth between Android and iPhone over the years.  My last Android was a Galaxy S5+ which was an energy hog.  Given the power of this phone I find the battery life impressive.
            "
"420","Wife not complaining,  I like it.
            "
"421","This was given as a gift. She loves it
            "
"422","My phone has started dropping calls after only 5 months.  I often can't send or receive texts and the call quality has gotten very bad.  I am extremely disappointed that there isn't anything Amazon can do for this faulty phone.
            "
"423","Great phone. Love it so far.
            "
"424","Great phone, used it to write this review.
            "
"425","El mejor celular con sistema android
            "
"426","So far so good. Never thought I'd leave apple but Samsung has a better product.
            "
"427","Very nice product easy to use, works well love the designe the color blue love it
            "
"428","Very nice phone. Great price.
            "
"429","Great phone and great price.
            "
"430","Great phoneMy only regret is I should have ordered the S9 plus for the larger screen, but I love the phone!
            "
"431","Loved this phone. Perfect packaging and easy to set up. I opened the box put in my sim card and was done.
            "
"432","Exactly what it says
            "
"433","This is simply the best cell phone I have ever bought.
            "
"434","Best phone I've ever owned. Beautiful design, screen, camera, etc....
            "
"435","Factory unlocked, just pop your old sim card in and go. Tested it out with both Verizon and AT&T chips in the US and it works perfectly.
            "
"436","Tengo  problemas con el cargador del telefono cada vez que lo conecto  me sale un mensaje que dice carga lenta y que lo conecte al equipo original como es posible que siendo  un equipo  nuevo  me envien  con un cargador que no sirve  necesito qu me ayuden con este inconveniente .
            "
"437","Love my phone
            "
"438","This phone really needs a user's manual or you'll miss out on a lot of the wonderful things this phone can do. I went from a S5 to a S9. Ask Bixby, she'll help you.
            "
"439","Great phone
            "
"440","I have upgraded from s8 plus and I really see an improvement in the performance , especially camera, AR emoji and face detection features are awesome.
            "
"441","Very satisfied with my phone, but did think it was a bit pricey.
            "
"442","The Bluetooth chip came broken in my phone. Very annoying and taking a long time to repair. Better to buy something more sure than something that could possibly arrive broken.
            "
"443","It s not originalGive my money back!
            "
"444","Is your phone 4g in the US? I bought this phone and my internet is terrible. My 4g is not working at all. And the phone is not even showing that is a 4g. Its terrible.
            "
"445","Love this phone so much! It is the best I've ever had.
            "
"446","I am a Samsung Galaxy fan, haven't been disappointed yet.
            "
"447","Love everything about! Samsung diehard!
            "
"448","Everything works except for the iris's!
            "
"449","I returned this phone because it was not unlocked. Unlocking the phone would have cost me $39.
            "
"450","When i received phone the both part of the screen did not work like it should. I used it 2 more weeks to see if i could get past that and one night the screen turned black with a light line at the top. I went through the process of returning the phone almost a month ago AND HAVE NOT RECEIVED MY REFUND.
            "
"451","An overall good phone. Highly satisfied with it. Would recommend.
            "
"452","Good
            "
"453","Phone calls are a lil low at times but other sound are fine. Everything else about the phone so far is perfect and I believe will be a fine investment. My s5 lasted me 3 years, so I hope it will last me as long if not longer.
            "
"454","I broke my s9+ in less than 6 months so needed something urgent. Amazon is great,it did ship me in less than 24 hours and I'm happy with my phone
            "
"455","Love my new phone
            "
"456","Love it
            "
"457","Works as it should. Sim card fit perfect. Factory phone, unlocked.
            "
"458","Reasonably sized, capable smartphone with decent battery life.
            "
"459","I'm very happy with this phone!!!
            "
"460","Well worth the money spent!!
            "
"461","Arrived fast. Perfect condition at a great price
            "
"462","It feels like the android slips from top to bottom like happened with my moto.. I did not call to verify  my s9 to make sure was not a knock off. I was assured my Amazon sales person it wasn't. Think I will go
            "
"463","I was expecting a longer battery life although I'm pleasantly pleased to be able to enjoy my phone all day doing everything I want with my phone off of one charge. That includes movie watching, social media, emails, pandora, web surfing, and amazing picture taking.
            "
"464","Couldn't ask for a better operating and functioning phone. Feature rich!
            "
"465","Love my galaxy, switched to galaxy after the iphone 6 and havent looked back for a second
            "
"466","It's a Excellent Phone. I was very afraid about some coments by the screen, but has been dropped several times and has not suffered any damage. I love the color, it's beautiful, It is very simple to manage, with a LOT of options to play about the camera, the security, the apps. I'm very happy with my purchase
            "
"467","Absolutely love the Samsung Galaxy s9.
            "
"468","I was nervous to order after reading some reviews stating the phone wasn't included or they received a dummy phone. But it arrived quickly and was exactly as described. Came with all the accessories and works with at&t
            "
"469","Trivial to setup. Required a couple reboots to get from sprint to at&t. One sw upgrade needed. Android to android sim change was quite easy. Still missing my historical message conversations though. It's only day one currently.
            "
"470","Bad description! Not all unlocked S9 work on all carriers. Only Verizon unlocked version has CDMA.
            "
"471","Great phone with wonderful features,  but the battery doesn't last longer.
            "
"472","Good phone
            "
"473","Great product! Much higher quality and experience than my last Samsung smart phone. In my opinion the S9+ outclasses the iPhone by every measure.
            "
"474","Came on time and was everything it said in the description.
            "
"475","As advertised. Love the device, love the screen. I am very happy with my purchase.
            "
"476","Buena compra...!!Me gusto
            "
"477","Solid phone with great features. The camera is good but sending video through text/mms is blurry. I don't think Samsung has fixed this issue yet.
            "
"478","I just started using it, but so far it is GREAT!!!
            "
"479","As expected
            "
"480","So far I love this phone.  It is a bit more narrow than my old phone, same length, so I""m happy with it, overall.  I""m still learning about its features and love Bixby!  So far, so good!
            "
"481","I love it! Came in perfect condition!
            "
"482","as expected.
            "
"483","As described
            "
"484","Enjoying this phone. It came just in time for my meeting at work.
            "
"485","Love this phone.
            "
"486","Super good phone
            "
"487","I ordered this phone and when I opened my package the phone was missing. This is unacceptable. I want my money back.
            "
"488","Perfect condition works great
            "
"489","Really good. My girlfriends birthday present and she loves it
            "
"490","Good
            "
"491","After I spent an entire day transferring and setting up the phone I realized the next day there is no wifi calling.. samsung s9s have wifi calling and this unlocked phone does not.. nice phone but have to have wifi calling. Its also a feature you pay for.
            "
"492","The US version of this phone has a bootloader that cannot be unlocked. This is blatantly anti-consumer and renders the phone useless unless you intend to use the stock firmware unmodified...and why would you? I recommend strongly against this phone.
            "
"493","We are very disappointed with the way shipping was made. Being on PRIME it got delivered 4 days late. We shipped it as a gift and it reached much later than the occasion which did not serve our purpose. Very disappointed. Personally I won a Samsung phone and I love it.
            "
"494","Im the kind of user that jumps from iphone to android, convinced that Android offers a lot more but the problem lies in components with each manufacturer. I only buy flagship smartphones as Im a power user and I decided to give it a go with the impressive S9.Im extremely happy.Im not getting into details and specs, the internet is already loaded with them, I think the experiences is more valuable to you.The device is top notch,  Migrating from another android device or an iphone is extremely easy with the included adapter,  screen is wonderful, no surprise considering Samsung builds the iPhone X screen. Well obviously Samsung is the screen guru nowadays.Everything is great on this device, works much better than iphone in bluetooth connections, is extremely fast etc.UI is very good, and packed with options. Fast charging is impressive, 10 to 100 in 60 mins. And battery lasts all day with normal use.Cellular signal strenght is very good, wifi is very good, its wather proof, what else can you ask for?
            "
"495","Best phone I've ever had. I would recommend to anybody !
            "
"496","maravilloso
            "
"497","Really good phone. I liked how it takes pictures, internet connection is fast, and overall speed of the phone while opening apps. More advanced features to use for those who like to experience something new. So far I am glad that I bought this Samsung Galaxy S9.
            "
"498","Phone looks nice has good picture and sound quality, but the battery life is average.
            "
"499","buen producto
            "
"500","Liked this because it was a better value than purchasing in the Phone store.  Way less money for a new ph. with a warranty.
            "
"501","Love love love this phone
            "
"502","too skinny
            "
"503","Love my new Samsung Galaxy s9. The best part is Samsung health and Bixby manager. Just say a command with a push of a button or turn phone on and talk!! I dont like the new charging input adapter is confusing me. How do u charge in the car?
            "
"504","Great phone. The camera is the best.
            "
"505","NO SEAL ON BOX (only tape). NO INSTRUCTION MANUAL/TERMS&CONDITIONS. Returning.
            "
"506","This phone is not unlocked. Took it to the verizon store and they said this phone was not enabled for their service.
            "
"507","Use to a j7 13 mp camera other than that happy. Great upgrade even with the down step in camera. Truly unlocked phone has cdma I use boost mobile through sprint network. Can not activate online have to buy sim card pack and do over phone or always can go in store.
            "
"508","Upgraded from my s7 and absolutely love this phone.
            "
"509","You won't find a bigger and better Android phone than the Samsung Galaxy S9 Plus, thanks to its oversized 6.2-inch curved screen and low-light-defeating dual-lens camera.
            "
"510","I bought this phone 6 months ago, I loved using it, the battery is fine, I really like the camera and the space of it, but I left my phone fall on the floor and its phone screen just cracked badly so you can see it's not a good quality
            "
"511","Love the new Samsung  Galaxy S9  Phone.  Had a s7 edge, this is more efficient,  better in everyway. Absolutely would recommend this phone to anyone.
            "
"512","I loved it, but sometimes it freeze, it wasn't to happen with a new mobile. I had Iphone 8 before and it doesn't freeze. But I like Android. That's why I bought it.
            "
"513","Best phone on the market at the moment!
            "
"514","Love love love love
            "
"515","Good phone and has a great camera
            "
"516","This phone is amazing.  There is nothing more to say. The picture quality is amazing, the software is amazing. I thought transitioning to Iphone to Andriod would be hard but it really isn't.
            "
"517","Pretty awesome phone that you can get a great deal for at the time of this purchase (Nov 2018)
            "
"518","The phone itself pretty nicely. Perfect sound image, and quality. Lovely interface. So far so good.
            "
"519","Still trying to get the kinks out but so far it's ok
            "
"520","Brand new Samsung s9 plus. Everything perfect .  I use it with T Mobile in Usa and works perfectly.
            "
"521","S9 in its best form.
            "
"522","My new Samsung Galaxy s 9 plus is perfect! I love it!
            "
"523","This phone is freaking amazing
            "
"524","Glitches using coaches eye
            "
"525","Got this for my son's graduation. He is thrilled.
            "
"526","Great
            "
"527","Excellent Condition. Amazing phone!!
            "
"528","Absolutely and completely LOCKED, previously owned.
            "
"529","Purchased as an upgrade for the S7, wife is happy with the performance...
            "
"530","Great phone!
            "
"531","The Samsung 9+ was an excellent buy it a lot faster than it predecessors, the pictures are clear and clean
            "
"532","It was really easy walked into us cellular and got a prepaid plan just like that.
            "
"533","Superb phone.
            "
"534","Thank u
            "
"535","Excelente
            "
"536","I bought this certified used but its operating like it was bought brand new. When it came it had no visible wear-n-tear marks nor glitches. I'm very satisfied with this purchase.
            "
"537","bought that phone  for sister as gift few months ago , no problems works perfect.
            "
"538","Upgraded from an S7. So big step up.
            "
"539","After 2 month of use out of nowhere the cellphone screen is not working. i have dead zones and the screen is flickering. I live in Argentina and Samsung's Argentina does not want to fix it since i bought it in USA. I need a solution right away!!!!
            "
"540","Works as expected!
            "
"541","Amazing, All the features are perfect. Battery is not bad, and everything works smoothly.
            "
"542","I'm quite the heavy user, so the battery life only lasts about 13-15 hours. The phone runs smooth and handle everything I throw at it with ease. Great buy  so far. Been using it for just under a month, and will update if anything changes :)
            "
"543","Nice so far
            "
"544","Love it
            "
"545","Best Samsung yet.
            "
"546","Excellent
            "
"547","excellent product
            "
"548","very good thanks
            "
"549","This phone is great.  Everything on it works wonderful
            "
"550","No phone in box. Just factory packaging with accessories and an empty phone spot. Make sure and read all the one star reviews!!!
            "
"551","Me encanto
            "
"552","So far so good, I have no complaints about the phone, just got it so I'm still figuring everything out. Had a little trouble getting phone activated, however one that was taken care of the phone had been great!
            "
"553","Love my Samsung .
            "
"554","Took phone to Cellular provider for set up and was told that someone else still owes payments on the phone so it¡¯s blocked on their system. So basically the phone was a stolen item being resold.
            "
"555","works perfectly I made an excellent purchase.
            "
"556","This is the worst top of the line samsung phone I have ever owned and how the heck you get any kind of replacement for this junk. restart on or 2 times a day because applications quit, screen flips out and goes where it wants instead of to the icon you press. Try to answer phone calls and you have to back out of all other screens and if you try to close all screens it shuts off the phone call. S9+ just plain sucks
            "
"557","Was concerned that it wouldn't work with my provider. Took it out of the box, inserted my Straight Talk SIM card and I have a working phone. Thrilled with my purchase!
            "
"558","i do not like nothing
            "
"559","Muy bueno
            "
"560","So far so good. I miss having an actual Galaxy S phone. I've had other phones before even different brands and it just doesn't stack up to this. Thanks again.
            "
