Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,61400.000000,61600.000000,60000.000000,60700.000000,60700.000000,29191
2015-04-21,60800.000000,61600.000000,60600.000000,61100.000000,61100.000000,16035
2015-04-22,60800.000000,61700.000000,57800.000000,59700.000000,59700.000000,26163
2015-04-23,59700.000000,63400.000000,59100.000000,61500.000000,61500.000000,48291
2015-04-24,61500.000000,61800.000000,58600.000000,58800.000000,58800.000000,40441
2015-04-27,58400.000000,59500.000000,57900.000000,58300.000000,58300.000000,23105
2015-04-28,57900.000000,59200.000000,57400.000000,57600.000000,57600.000000,14526
2015-04-29,58100.000000,58300.000000,57100.000000,58000.000000,58000.000000,11860
2015-04-30,57800.000000,58100.000000,57200.000000,57900.000000,57900.000000,11412
2015-05-04,57600.000000,60500.000000,57600.000000,59000.000000,59000.000000,23779
2015-05-06,59000.000000,59800.000000,57600.000000,58100.000000,58100.000000,17047
2015-05-07,57600.000000,58500.000000,57000.000000,57900.000000,57900.000000,14346
2015-05-08,58400.000000,59700.000000,57800.000000,59400.000000,59400.000000,9118
2015-05-11,60300.000000,60600.000000,58800.000000,58800.000000,58800.000000,23096
2015-05-12,58800.000000,58900.000000,57700.000000,58500.000000,58500.000000,14219
2015-05-13,58400.000000,59400.000000,57900.000000,59400.000000,59400.000000,12309
2015-05-14,59600.000000,60100.000000,58900.000000,58900.000000,58900.000000,11001
2015-05-15,59500.000000,60000.000000,58900.000000,59700.000000,59700.000000,12615
2015-05-18,60000.000000,60200.000000,59000.000000,60000.000000,60000.000000,14273
2015-05-19,60000.000000,60200.000000,59000.000000,60000.000000,60000.000000,13920
2015-05-20,60000.000000,60900.000000,59600.000000,60500.000000,60500.000000,26640
2015-05-21,60500.000000,61000.000000,59800.000000,59800.000000,59800.000000,20558
2015-05-22,60100.000000,60300.000000,59600.000000,59900.000000,59900.000000,12334
2015-05-26,62000.000000,64800.000000,59900.000000,60400.000000,60400.000000,128205
2015-05-27,60800.000000,62500.000000,60100.000000,61000.000000,61000.000000,53455
2015-05-28,63000.000000,66500.000000,62500.000000,64700.000000,64700.000000,100911
2015-05-29,65400.000000,65600.000000,62900.000000,63500.000000,63500.000000,45931
2015-06-01,63200.000000,66900.000000,62600.000000,66800.000000,66800.000000,92736
2015-06-02,67000.000000,68600.000000,66000.000000,66100.000000,66100.000000,54627
2015-06-03,66100.000000,66900.000000,65100.000000,65500.000000,65500.000000,34565
2015-06-04,64200.000000,64700.000000,61400.000000,62500.000000,62500.000000,61674
2015-06-05,62000.000000,63800.000000,61700.000000,62900.000000,62900.000000,29713
2015-06-08,62300.000000,63000.000000,60800.000000,62000.000000,62000.000000,27519
2015-06-09,62900.000000,62900.000000,61500.000000,61900.000000,61900.000000,12787
2015-06-10,61900.000000,62600.000000,61000.000000,61200.000000,61200.000000,18009
2015-06-11,61300.000000,62700.000000,61000.000000,61200.000000,61200.000000,16364
2015-06-12,61200.000000,62000.000000,59900.000000,60100.000000,60100.000000,22842
2015-06-15,60100.000000,60600.000000,56800.000000,57000.000000,57000.000000,28608
2015-06-16,56800.000000,57400.000000,55000.000000,56500.000000,56500.000000,11421
2015-06-17,56500.000000,58500.000000,56500.000000,58300.000000,58300.000000,7923
2015-06-18,57800.000000,59400.000000,57800.000000,58200.000000,58200.000000,9480
2015-06-19,58300.000000,59000.000000,57800.000000,58300.000000,58300.000000,7219
2015-06-22,58300.000000,59200.000000,57600.000000,58400.000000,58400.000000,7526
2015-06-23,58600.000000,58900.000000,57500.000000,58900.000000,58900.000000,11240
